symbol,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas
GLP1R,-0.6955322669608384,,0.0
PNO1,0.0531715388858247,,0.0
AP3M1,-0.2500827357970215,,0.0
PHKG2,-0.1603971318257032,,0.0
TSPOAP1,-0.604522890237176,,0.0
FBXL22,0.8126861555432985,,0.0
PPP1CB,-0.9260893546607832,,0.0
FGFR3,-0.7324875896304468,1,0.0528083547788336
PPM1D,0.3665747380033095,1,0.0
PRDM7,0.0586872586872586,,0.0
PRDM9,0.1318257032542746,1,0.0
APOC1,0.6721456150027578,,0.0
TOMM40,-0.7342526199669057,,0.0
CDK2,-0.8062879205736349,1,0.0
TRAPPC11,-0.2603419746276889,,0.0126171738578522
CGA,-0.2943188086045228,,0.0
TRRAP,-0.990623276337562,,0.0
IL6R,-0.00584666298952,,0.0
ATP5F1C,-0.3136238279095422,,0.1182243331873712
ARPC5L,-0.5583011583011583,,0.0237947520727521
PIK3R2,-0.3504688361831218,,0.0
BACE1,-0.6246001103143961,1,0.0
GNG4,0.9293987865416438,,0.0
ARNT,-0.8092664092664092,,0.0
CACNA1A,-0.8610038610038611,,0.0119909734487705
ZFHX3,-0.9627137341423057,,0.12607087829013
FAHD2A,0.158411472697187,,0.0
MMP3,0.468284611141754,,0.0
USP3,-0.7339216767788197,,0.0
SDK1,-0.3349145063430777,,0.0
TBX5,-0.91130722559294,,0.0
RABEP1,-0.6982901268615554,,0.0953279967108872
WIPF2,-0.3191395477109763,,0.0
XPO7,-0.9641478212906784,,0.0
SDCCAG8,-0.2161059018201875,,0.0
RAB9A,0.0,,0.008107531777078
MGAT1,-0.519911748483177,,0.0
CSF1R,-0.7038058466629895,1,0.0
TRMT10C,-0.3509100937672366,,0.0359291594585936
SPEN,-0.99580805295091,,0.0
DDAH1,0.2950910093767236,,0.0
EPB41L1,-0.8094870380584667,,0.0
SHMT1,0.1955874241588526,,0.0
CAMK1G,-0.5482625482625483,,0.0335994496834992
IGFBP3,-0.173634859349145,,0.0
ACP5,0.3003861003861003,,0.0
ARPC4,-0.8368450082735797,,0.0
ZNF568,0.122669608383894,,0.0
ZNF462,-0.9980143408714838,,0.0691255744771879
CLINT1,-0.7730832873690017,,0.0
GDI1,0.0,,0.0
CYSLTR1,0.0,1,0.0
